dataset,check,value,verdict,detail
ctc_dic_hela_timelapse/01_GT/TRA,frames,84,ok,frames in the stack
ctc_dic_hela_timelapse/01_GT/TRA,objects,1120,ok,labelled objects summed over frames
ctc_dic_hela_timelapse/01_GT/TRA,labels,38,ok,distinct labels in the stack
ctc_dic_hela_timelapse/01_GT/TRA,label_reuse,0 gaps,ok,"no label disappears and comes back, so no label can have been recycled"
ctc_dic_hela_timelapse/01_GT/TRA,division_convention,no divisions found,unknown,"nothing in this stack splits into two children, so the convention cannot be read off it"
ctc_dic_hela_timelapse/01_GT/TRA,frame_interval,unknown,unknown,"no timestamps and no stated interval, so nothing here says what a pixel of displacement means in time"
ctc_dic_hela_timelapse/01_GT/TRA,displacement_px,"median 0, p95 22",ok,per-frame displacement of objects that survive a frame
ctc_dic_hela_timelapse/01_GT/TRA,displacement_over_diameter,p95 0.888,check,objects move a noticeable fraction of their own size; the head needs a receptive field wider than the object
ctc_dic_hela_timelapse/02_GT/TRA,frames,84,ok,frames in the stack
ctc_dic_hela_timelapse/02_GT/TRA,objects,1030,ok,labelled objects summed over frames
ctc_dic_hela_timelapse/02_GT/TRA,labels,32,ok,distinct labels in the stack
ctc_dic_hela_timelapse/02_GT/TRA,label_reuse,0 gaps,ok,"no label disappears and comes back, so no label can have been recycled"
ctc_dic_hela_timelapse/02_GT/TRA,division_convention,no divisions found,unknown,"nothing in this stack splits into two children, so the convention cannot be read off it"
ctc_dic_hela_timelapse/02_GT/TRA,frame_interval,unknown,unknown,"no timestamps and no stated interval, so nothing here says what a pixel of displacement means in time"
ctc_dic_hela_timelapse/02_GT/TRA,displacement_px,"median 1, p95 18.9",ok,per-frame displacement of objects that survive a frame
ctc_dic_hela_timelapse/02_GT/TRA,displacement_over_diameter,p95 1.08,fail,"objects move further than their own diameter, which is the plan's own stated failure mode: the vector has to point past what the head can see and several identical cells are candidates"
Fluo-C2DL-Huh7/01_GT/TRA,frames,30,ok,frames in the stack
Fluo-C2DL-Huh7/01_GT/TRA,objects,951,ok,labelled objects summed over frames
Fluo-C2DL-Huh7/01_GT/TRA,labels,34,ok,distinct labels in the stack
Fluo-C2DL-Huh7/01_GT/TRA,label_reuse,0 gaps,ok,"no label disappears and comes back, so no label can have been recycled"
Fluo-C2DL-Huh7/01_GT/TRA,division_convention,no divisions found,unknown,"nothing in this stack splits into two children, so the convention cannot be read off it"
Fluo-C2DL-Huh7/01_GT/TRA,frame_interval,unknown,unknown,"no timestamps and no stated interval, so nothing here says what a pixel of displacement means in time"
Fluo-C2DL-Huh7/01_GT/TRA,displacement_px,"median 0, p95 10.3",ok,per-frame displacement of objects that survive a frame
Fluo-C2DL-Huh7/01_GT/TRA,displacement_over_diameter,p95 1.1,fail,"objects move further than their own diameter, which is the plan's own stated failure mode: the vector has to point past what the head can see and several identical cells are candidates"
Fluo-C2DL-Huh7/02_GT/TRA,frames,30,ok,frames in the stack
Fluo-C2DL-Huh7/02_GT/TRA,objects,1618,ok,labelled objects summed over frames
Fluo-C2DL-Huh7/02_GT/TRA,labels,69,ok,distinct labels in the stack
Fluo-C2DL-Huh7/02_GT/TRA,label_reuse,0 gaps,ok,"no label disappears and comes back, so no label can have been recycled"
Fluo-C2DL-Huh7/02_GT/TRA,division_convention,no divisions found,unknown,"nothing in this stack splits into two children, so the convention cannot be read off it"
