series,concentration,response,replicate
SYNTHETIC inhibition,0,94.5,1
SYNTHETIC inhibition,0,95.0,2
SYNTHETIC inhibition,0,95.5,3
SYNTHETIC inhibition,0.01,94.28027906415512,1
SYNTHETIC inhibition,0.01,94.78027906415512,2
SYNTHETIC inhibition,0.01,95.28027906415512,3
SYNTHETIC inhibition,0.03,93.68431127799825,1
SYNTHETIC inhibition,0.03,94.18431127799825,2
SYNTHETIC inhibition,0.03,94.68431127799825,3
SYNTHETIC inhibition,0.1,91.13948117884925,1
SYNTHETIC inhibition,0.1,91.63948117884925,2
SYNTHETIC inhibition,0.1,92.13948117884925,3
SYNTHETIC inhibition,0.3,83.10564535874423,1
SYNTHETIC inhibition,0.3,83.60564535874423,2
SYNTHETIC inhibition,0.3,84.10564535874423,3
SYNTHETIC inhibition,1,60.236575302878876,1
SYNTHETIC inhibition,1,60.736575302878876,2
SYNTHETIC inhibition,1,61.236575302878876,3
SYNTHETIC inhibition,3,31.794259052063488,1
SYNTHETIC inhibition,3,32.29425905206349,2
SYNTHETIC inhibition,3,32.79425905206349,3
SYNTHETIC inhibition,10,12.877586893440403,1
SYNTHETIC inhibition,10,13.377586893440403,2
SYNTHETIC inhibition,10,13.877586893440403,3
SYNTHETIC inhibition,30,6.905691284330249,1
SYNTHETIC inhibition,30,7.405691284330249,2
SYNTHETIC inhibition,30,7.905691284330249,3
SYNTHETIC inhibition,100,5.079093352693672,1
SYNTHETIC inhibition,100,5.579093352693672,2
SYNTHETIC inhibition,100,6.079093352693672,3
SYNTHETIC activation,0,9.5,1
SYNTHETIC activation,0,10.0,2
SYNTHETIC activation,0,10.5,3
SYNTHETIC activation,0.01,9.898009950248756,1
SYNTHETIC activation,0.01,10.398009950248756,2
SYNTHETIC activation,0.01,10.898009950248756,3
SYNTHETIC activation,0.03,10.682266009852217,1
SYNTHETIC activation,0.03,11.182266009852217,2
SYNTHETIC activation,0.03,11.682266009852217,3
SYNTHETIC activation,0.1,13.30952380952381,1
SYNTHETIC activation,0.1,13.80952380952381,2
SYNTHETIC activation,0.1,14.30952380952381,3
SYNTHETIC activation,0.3,19.934782608695652,1
SYNTHETIC activation,0.3,20.434782608695652,2
SYNTHETIC activation,0.3,20.934782608695652,3
SYNTHETIC activation,1,36.16666666666667,1
