==============================================================================
PER-MODULE COVERAGE -- statements AND branches
==============================================================================

Measured 2026-08-30T06:11:22
on a worktree at /tmp/claude-1000/covbatch, the whole tests/ tree run in
batches of 60 files with --cov-append, -n 4.

  statements   199531/202516   98.53%
  branches      58746/61204    95.98%
  combined                     97.94%

  modules             509
  at a full 100%      261
  within 10 of 100%   178
  missing arcs        5443

INCOMPLETE, AND HERE IS EXACTLY HOW.

Batch 2 (60 Qt files) hung on an xdist controller deadlock -- its workers
sat idle in execnet's serve loop -- and was killed so the loop could
advance. Its coverage data is absent, so this figure is a FLOOR.

The cost is visible by diffing against the previous complete run. These
13 modules read LOWER here than they did on 2026-08-30a, and
nothing in them was changed to make that true:

    spacr/qt/widgets/annotation_umap_tab.py                95.2 ->   56.3   (-38.9)
    spacr/qt/widgets/flash.py                             100.0 ->   90.9   (-9.1)
    spacr/qt/app_catalog.py                                95.6 ->   89.0   (-6.6)
    spacr/qt/screens/train_cellpose.py                     97.9 ->   91.7   (-6.2)
    spacr/qt/bridge.py                                    100.0 ->   97.2   (-2.8)
    spacr/qt/theme.py                                      99.2 ->   98.5   (-0.7)
    spacr/qt/widgets/cell_montage_view.py                  97.9 ->   97.3   (-0.7)
    spacr/qt/widgets/drawer.py                             98.6 ->   98.1   (-0.5)
    spacr/macro.py                                         99.5 ->   99.2   (-0.3)
    spacr/qt/app.py                                        90.8 ->   90.6   (-0.1)
    spacr/qt/screens/settings_model.py                     97.4 ->   97.3   (-0.1)
    spacr/qt/screens/app_screen.py                         95.4 ->   95.3   (-0.1)
    spacr/ml.py                                            94.7 ->   94.7   (-0.0)

Every other module is equal or better. Thirty are better, which is this
session's tests: qt/timing.py 55.5 -> 87.0 is the largest.

So the honest reading is: 97.94% measured, at least that much true, and
the previous complete run read 97.89% on an older commit.

==============================================================================
module                                                          %  miss   br
==============================================================================
spacr/__init__.py                                          100.00     0    0
spacr/__main__.py                                          100.00     0    0
spacr/_v1_v2_bridge.py                                     100.00     0    0
spacr/_version.py                                          100.00     0    0
spacr/active_learning.py                                    99.72     0    4
spacr/agreement.py                                         100.00     0    0
spacr/align.py                                             100.00     0    0
spacr/anndata_export/__init__.py                            77.14   132   47
spacr/annotation.py                                        100.00     0    0
spacr/annotation_power.py                                  100.00     0    0
spacr/annotation_umap_qc.py                                100.00     0    0
spacr/annotation_validation.py                             100.00     0    0
spacr/api.py                                               100.00     0    0
spacr/artifacts.py                                         100.00     0    0
spacr/attribution.py                                        99.70     0    3
spacr/attribution_columns.py                               100.00     0    0
spacr/baseline.py                                          100.00     0    0
spacr/batch.py                                              99.52     0    6
spacr/batch_correction.py                                   99.82     0    1
spacr/benchmark.py                                         100.00     0    0
spacr/cancellation.py                                      100.00     0    0
spacr/cell_montage.py                                       98.90     2   12
spacr/chaining.py                                           97.64    12    9
spacr/checkpoint.py                                        100.00     0    0
spacr/classifier_evaluation.py                              99.49     0    5
spacr/classifier_quality.py                                100.00     0    0
spacr/classify.py                                           95.51     2    2
spacr/classify_classes.py                                  100.00     0    0
spacr/cli.py                                                99.51     0    4
spacr/cli_database.py                                      100.00     0    0
spacr/cli_leakage.py                                       100.00     0    0
spacr/cli_plugins.py                                       100.00     0    0
spacr/cli_remote.py                                        100.00     0    0
spacr/cli_repro.py                                         100.00     0    0
spacr/cli_workspace.py                                     100.00     0    0
spacr/column_groups.py                                     100.00     0    0
spacr/columns.py                                           100.00     0    0
spacr/confusion.py                                         100.00     0    0
spacr/control_names.py                                      99.34     0    1
spacr/convert.py                                            99.58     0    5
spacr/core.py                                               98.74     0   11
spacr/counting.py                                          100.00     0    0
spacr/crashreport.py                                       100.00     0    0
spacr/crop_source.py                                       100.00     0    0
spacr/crops.py                                              99.90     0    2
spacr/curation.py                                           99.14     0    3
spacr/custom_features.py                                   100.00     0    0
spacr/data_manager.py                                      100.00     0    0
spacr/database_concurrency.py                              100.00     0    0
spacr/database_schema.py                                   100.00     0    0
spacr/deep_spacr.py                                         98.73     6   26
spacr/dependent_join.py                                    100.00     0    0
spacr/diameter.py                                          100.00     0    0
spacr/doctor.py                                             99.80     1    1
spacr/errors.py                                             99.72     0    1
spacr/example_data.py                                      100.00     0    0
spacr/example_data_manifest.py                             100.00     0    0
spacr/external_masks.py                                     99.81     0    1
spacr/feature_dict.py                                       99.66     0    3
spacr/figure_font.py                                       100.00     0    0
spacr/figure_sink.py                                       100.00     0    0
spacr/figure_style.py                                      100.00     0    0
spacr/figures/__init__.py                                  100.00     0    0
spacr/figures/bundle.py                                    100.00     0    0
spacr/figures/distributions.py                             100.00     0    0
spacr/figures/fast_render.py                                98.98     0    3
spacr/figures/headless.py                                  100.00     0    0
spacr/figures/panels.py                                    100.00     0    0
spacr/figures/plates.py                                     99.62     0    1
spacr/figures/scene.py                                      96.22    21   17
spacr/figures/sheet.py                                     100.00     0    0
spacr/figures/spread.py                                    100.00     0    0
spacr/figures/stats.py                                     100.00     0    0
spacr/figures/style.py                                     100.00     0    0
spacr/figures/summary.py                                   100.00     0    0
spacr/filters.py                                            99.42     0    3
spacr/fit_resources.py                                     100.00     0    0
spacr/flowview/__init__.py                                 100.00     0    0
spacr/flowview/_classify_stages.py                          75.00    36    4
spacr/flowview/classify_blueprint.py                       100.00     0    0
spacr/flowview/collector.py                                100.00     0    0
spacr/flowview/events.py                                   100.00     0    0
spacr/flowview/export.py                                   100.00     0    0
